YEAR,name,lat,lng,country,admin1,admin2
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Paris,48.85341,2.3488,FR,11,75
2021,Paris,48.85341,2.3488,FR,11,75
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,Paris,48.85341,2.3488,FR,11,75
2021,Liverpool,-33.91938,150.92588,AU,02,12850
2021,Liverpool,53.41058,-2.97794,GB,ENG,H8
2021,Porto,42.16737,-6.89934,ES,55,ZA
2021,Porto,40.84395,14.25724,IT,04,NA
2021,Porto,41.14961,-8.61099,PT,17,1312
2021,Liverpool,-33.91938,150.92588,AU,02,12850
2021,Liverpool,53.41058,-2.97794,GB,ENG,H8
2021,Liverpool,-33.91938,150.92588,AU,02,12850
2021,Liverpool,53.41058,-2.97794,GB,ENG,H8
2021,Amsterdam,52.37403,4.88969,NL,07,0363
2021,Dortmund,51.51494,7.466,DE,07,059
2021,Amsterdam,52.37403,4.88969,NL,07,0363
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Amsterdam,52.37403,4.88969,NL,07,0363
2021,Dortmund,51.51494,7.466,DE,07,059
2021,Milan,45.46427,9.18951,IT,09,MI
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Milan,45.46427,9.18951,IT,09,MI
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Munich,48.13743,11.57549,DE,02,091
2021,Barcelona,41.38879,2.15899,ES,56,B
2021,Munich,48.13743,11.57549,DE,02,091
2021,Munich,48.13743,11.57549,DE,02,091
2021,Lisbon,38.71667,-9.13333,PT,14,1106
2021,Bern,46.94809,7.44744,CH,BE,246
2021,Bergamo,45.69601,9.66721,IT,09,BG
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,Wolfsburg,52.42452,10.7815,DE,06,00
2021,Sevilla,37.38283,-5.97317,ES,51,SE
2021,Leipzig,51.33962,12.37129,DE,13,00
2021,London,51.50853,-0.12574,GB,ENG,GLA
2021,Turin,45.07049,7.68682,IT,12,TO
2021,London,51.50853,-0.12574,GB,ENG,GLA
2021,Turin,45.07049,7.68682,IT,12,TO
2021,London,51.50853,-0.12574,GB,ENG,GLA
2021,Turin,45.07049,7.68682,IT,12,TO
2022,Paris,48.85341,2.3488,FR,11,75
2022,London,51.50853,-0.12574,GB,ENG,GLA
2022,Munich,48.13743,11.57549,DE,02,091
2022,Madrid,40.4165,-3.70256,ES,29,M
2022,Manchester,53.48095,-2.23743,GB,ENG,I2
2022,Manchester,53.48095,-2.23743,GB,ENG,I2
2022,Liverpool,-33.91938,150.92588,AU,02,12850
2022,Liverpool,53.41058,-2.97794,GB,ENG,H8
2022,Madrid,40.4165,-3.70256,ES,29,M
2020,Munich,48.13743,11.57549,DE,02,091
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Munich,48.13743,11.57549,DE,02,091
2020,Munich,48.13743,11.57549,DE,02,091
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Mönchengladbach,51.18539,6.44172,DE,07,051
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Porto,42.16737,-6.89934,ES,55,ZA
2020,Porto,40.84395,14.25724,IT,04,NA
2020,Porto,41.14961,-8.61099,PT,17,1312
2020,Porto,42.16737,-6.89934,ES,55,ZA
2020,Porto,40.84395,14.25724,IT,04,NA
2020,Porto,41.14961,-8.61099,PT,17,1312
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Marseille,43.29695,5.38107,FR,93,13
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Liverpool,-33.91938,150.92588,AU,02,12850
2020,Liverpool,53.41058,-2.97794,GB,ENG,H8
2020,Amsterdam,52.37403,4.88969,NL,07,0363
2020,Liverpool,-33.91938,150.92588,AU,02,12850
2020,Liverpool,53.41058,-2.97794,GB,ENG,H8
2020,Sevilla,37.38283,-5.97317,ES,51,SE
2020,London,51.50853,-0.12574,GB,ENG,GLA
2020,Sevilla,37.38283,-5.97317,ES,51,SE
2020,Rome,41.89193,12.51133,IT,07,RM
2020,Dortmund,51.51494,7.466,DE,07,059
2020,Dortmund,51.51494,7.466,DE,07,059
2020,Rome,41.89193,12.51133,IT,07,RM
2020,Brugge,51.20892,3.22424,BE,VLG,VWV
2020,Barcelona,41.38879,2.15899,ES,56,B
2020,Barcelona,41.38879,2.15899,ES,56,B
2020,Turin,45.07049,7.68682,IT,12,TO
2020,Turin,45.07049,7.68682,IT,12,TO
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Paris,48.85341,2.3488,FR,11,75
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Paris,48.85341,2.3488,FR,11,75
2021,Porto,42.16737,-6.89934,ES,55,ZA
2021,Porto,40.84395,14.25724,IT,04,NA
2021,Porto,41.14961,-8.61099,PT,17,1312
2021,Turin,45.07049,7.68682,IT,12,TO
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Munich,48.13743,11.57549,DE,02,091
2021,London,51.50853,-0.12574,GB,ENG,GLA
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,Madrid,40.4165,-3.70256,ES,29,M
2021,Manchester,53.48095,-2.23743,GB,ENG,I2
2021,London,51.50853,-0.12574,GB,ENG,GLA
2019,Paris,48.85341,2.3488,FR,11,75
2019,Paris,48.85341,2.3488,FR,11,75
2019,Madrid,40.4165,-3.70256,ES,29,M
2019,Paris,48.85341,2.3488,FR,11,75
2019,Munich,48.13743,11.57549,DE,02,091
2019,London,51.50853,-0.12574,GB,ENG,GLA
2019,Munich,48.13743,11.57549,DE,02,091
2019,London,51.50853,-0.12574,GB,ENG,GLA
2019,Munich,48.13743,11.57549,DE,02,091
2019,Zagreb,45.81444,15.97798,HR,21,
2019,Manchester,53.48095,-2.23743,GB,ENG,I2
2019,Manchester,53.48095,-2.23743,GB,ENG,I2
2019,Milan,45.46427,9.18951,IT,09,MI
2019,Turin,45.07049,7.68682,IT,12,TO
2019,Madrid,40.4165,-3.70256,ES,29,M
2019,Turin,45.07049,7.68682,IT,12,TO
2019,Leverkusen,51.0303,6.98432,DE,07,053
2019,Turin,45.07049,7.68682,IT,12,TO
2019,Madrid,40.4165,-3.70256,ES,29,M
2019,Naples,40.85216,14.26811,IT,04,NA
2019,Leipzig,51.33962,12.37129,DE,13,00
2019,Liverpool,-33.91938,150.92588,AU,02,12850
2019,Liverpool,53.41058,-2.97794,GB,ENG,H8
2019,Liverpool,-33.91938,150.92588,AU,02,12850
2019,Liverpool,53.41058,-2.97794,GB,ENG,H8
2019,Naples,40.85216,14.26811,IT,04,NA
2019,Barcelona,41.38879,2.15899,ES,56,B
2019,Milan,45.46427,9.18951,IT,09,MI
2019,Dortmund,51.51494,7.466,DE,07,059
2019,Barcelona,41.38879,2.15899,ES,56,B
2019,Dortmund,51.51494,7.466,DE,07,059
2019,Leipzig,51.33962,12.37129,DE,13,00
2019,Lisbon,38.71667,-9.13333,PT,14,1106
2019,Décines-Charpieu,45.76873,4.95883,FR,84,69
2019,Lisbon,38.71667,-9.13333,PT,14,1106
2019,Amsterdam,52.37403,4.88969,NL,07,0363
2019,Valencia,39.47391,-0.37966,ES,60,V
2019,London,51.50853,-0.12574,GB,ENG,GLA
2020,Dortmund,51.51494,7.466,DE,07,059
2020,Madrid,40.4165,-3.70256,ES,29,M
2020,Milan,45.46427,9.18951,IT,09,MI
2020,Décines-Charpieu,45.76873,4.95883,FR,84,69
2020,Leipzig,51.33962,12.37129,DE,13,00
2020,Paris,48.85341,2.3488,FR,11,75
2020,Manchester,53.48095,-2.23743,GB,ENG,I2
2020,Turin,45.07049,7.68682,IT,12,TO
2020,Munich,48.13743,11.57549,DE,02,091
2020,Barcelona,41.38879,2.15899,ES,56,B
2020,Lisbon,38.71667,-9.13333,PT,14,1106
2018,Dortmund,51.51494,7.466,DE,07,059
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Dortmund,51.51494,7.466,DE,07,059
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Madrid,40.4165,-3.70256,ES,29,M
2018,Barcelona,41.38879,2.15899,ES,56,B
2018,Milan,45.46427,9.18951,IT,09,MI
2018,Barcelona,41.38879,2.15899,ES,56,B
2018,London,51.50853,-0.12574,GB,ENG,GLA
2018,London,51.50853,-0.12574,GB,ENG,GLA
2018,Liverpool,-33.91938,150.92588,AU,02,12850
2018,Liverpool,53.41058,-2.97794,GB,ENG,H8
2018,Paris,48.85341,2.3488,FR,11,75
2018,Naples,40.85216,14.26811,IT,04,NA
2018,Liverpool,-33.91938,150.92588,AU,02,12850
